Hora;Mes;Hidraul;Eolica;Demanda;Ciclocomb;Cogener;Nuclear;Carbon;Clases
0;8;1600.9;4404.7;21671.1;1343.2;3114.5;6900.8;5577.5;1
1;8;1029;4345.1;20005.7;1343.2;3198.6;6913.8;5064.4;0
2;8;978.8;4299.5;19024.3;1328.7;3189.6;6932.8;4356.6;0
3;8;945.9;4248.2;18333.8;1322;3193.2;6949.8;4081.4;0
4;8;946.2;4148.9;17894.1;1313.3;3188.3;6949.8;3598.6;0
5;8;957.3;4112.6;17894.1;1314.2;3192.3;6954.8;3651.2;0
6;8;1022.6;3953;18834.9;1293.4;3203.1;6958.8;4537;0
7;8;2400.4;3832.3;20240.1;1223.2;3266.9;6960.8;5730;1
8;8;3123.1;3418.4;22200.9;1586.2;3326.8;6956.8;6327;1
9;8;3835.5;3074.7;23782.6;1429.2;3337.5;6948.8;6357;1
10;8;3663.9;2810.2;25063.5;1429.2;3309.6;6941.8;6357;1
11;8;3681.6;2795.6;26363.9;1429.2;3281.6;6935.8;6357;1
12;8;3565.1;2895.5;27548.5;1429.2;3273.2;6929.8;6357;1
13;8;3607.9;3281.1;28245.6;1429.2;3267.3;6926.8;6327;1
14;8;3439.4;3824.3;28361;1429.2;3267.9;6923.8;6327;1
15;8;3434.7;4411;27461.1;1429.2;3264.8;6921.8;6327;1
16;8;3429.7;5112.3;27033;1429.2;3287.7;6919.8;6327;1
17;8;3697.1;5635;27750.4;1541.2;3292.7;6921.8;6357;1
18;8;3766.7;6023.5;27750.2;1520.6;3297;6927.8;6357;1
19;8;3629.7;6414.8;27188.5;1511.9;3298.5;6930.8;6357;1
20;8;3675.7;6594.7;26326.7;1630.3;3294.6;6936.8;6357;1
21;8;3800.4;6649.9;25745.9;1667.6;3301.9;6944.8;6352;1
22;8;3474.2;6760.1;25599.4;1789.9;3304.9;6946.8;6357;1
23;8;1514.1;6327.9;24261.6;1573.2;3199;6944.8;5577.5;1
0;8;1732.9;5256.7;20929.2;1664.2;3051.1;6932;4835;1
1;8;1397.5;4677.6;19058.5;1371.2;3047.9;6926;4727.5;1
2;8;835.2;4242.1;17815.8;1371.2;2997.9;6929;4634;1
3;8;812.1;3812.1;17099.3;1371.2;3011;6930;4290.5;0
4;8;893;3413.7;16565.9;1371.2;3008.7;6933;4268.5;0
5;8;899.9;3093.2;16601.1;1371.2;3019.7;6935;4634;1
6;8;1385.3;2979.9;17586.9;1408.2;3114;6939;4809;1
7;8;2063.4;2841.5;18876.5;1251.2;3186.1;6939;4835;1
8;8;3256.9;2568.3;20346.2;1101.2;3270.7;6936;5217;1
9;8;3713.2;2271.5;21927.4;1101.2;3305.2;6932;5197;1
10;8;3889.3;2117;23458.9;1101.2;3305.5;6925;5197;1
11;8;4034.1;2237.4;24563.9;1103.9;3295.4;6920;5197;1
12;8;4294.3;2558.2;25530.9;1101.2;3289.1;6909;5197;1
13;8;4058.1;3067.9;26332.6;1244.2;3280;6906;5197;1
14;8;3547.2;3685;27221.8;1244.2;3272.8;6901;5197;1
15;8;3282.8;4346.4;27089.5;1244.2;3259.6;6906;5167;1
16;8;2735.5;5041.3;26793;1244.2;3277.9;6909;5167;1
17;8;2292.7;5575.5;26644.3;1244.2;3273.9;6911;5137;1
18;8;3268.7;6105.3;25495.3;1244.2;3313;6914;5167;1
19;8;2878.3;6621.8;24718.2;1244.2;3315.6;6918;5167;1
20;8;3188.8;6859.8;24192.2;1415.6;3321.4;6932;5197;1
21;8;3473.8;6825.5;24507.7;1415.6;3322.6;6940;5197;1
22;8;3607.4;6847.4;23954.2;1245.6;3332.1;6940;5197;1
23;8;2362.2;6600.8;22519.8;1402.6;3285.4;6929;4835;1
0;8;1739.4;6010.2;20536.3;1776.2;3018.3;6927.6;3169;1
1;8;1159.9;5735.2;18883.3;1536.4;3104.9;6922.6;3099;1
2;8;1107.6;5429.5;17716.8;1395.7;3134.6;6926.6;2590.5;0
3;8;1101.8;5170.7;16935.9;1357.4;3099.4;6926.6;2104.9;0
4;8;1082.8;4899.5;16508.6;1255.4;3146.9;6927.6;2149.5;0
5;8;1112.7;4736.6;16579.6;1256.2;3152;6929.6;2293.5;0
6;8;1264.3;4716.6;17334.3;1268.2;3154.5;6931.6;2707.5;0
7;8;1803;4888.3;18174.2;1105.2;3286.1;6932.6;2869.2;1
8;8;2517.3;4512.9;19618.8;1524.8;3311.2;6930.6;3009.4;1
9;8;3164.4;4230.6;21637.3;1524.8;3230.7;6925.6;3204;1
10;8;3074.8;4028.4;23180.4;1524.8;3176.3;6922.6;3304;1
11;8;3046.9;4030.4;24449.4;1399.2;3189.5;6916.6;3304;1
12;8;3240.9;4117.5;25040.2;1399.2;3232;6910.6;3304;1
13;8;3513.4;4271.6;25619.1;1399.2;3243.6;6911.6;3304;1
14;8;3364.2;4412.4;25096.9;1399.2;3161.6;6908.6;3304;1
15;8;3344.7;4730.2;24707.1;1399.2;3149.4;6910.6;3304;1
16;8;3149.5;5067.5;24684.2;1564.2;3141.7;6914.6;3254;1
17;8;2914.7;5446.3;24341.9;1564.2;3151.8;6914.6;3254;1
18;8;2837.5;5734.3;23878.3;1564.2;3161.3;6917.6;3169;1
19;8;2809.3;5996.9;23689.6;1842.5;3156.4;6919.6;3071.1;1
20;8;2561.7;6274.2;23177.9;2122.4;3153.3;6921.6;3138;1
21;8;3395;6571.2;23603.7;2234.4;3157.5;6924.6;2987.2;1
22;8;2860.6;6678.4;23121.7;2064.4;3151.1;6923.6;3195.5;1
23;8;1971;6692.2;21719.2;2263.9;2911.9;6925.6;3154;1
0;8;1022.4;6578.9;20231.7;1902.8;2940.4;6943.2;3175.9;0
1;8;1049.7;6640;18766.9;1902.8;3001.3;6938.2;2733.2;0
2;8;1053;6488.4;17494.6;1625.8;3132.2;6940.2;2084.5;0
3;8;1027.1;6309;16668.8;1474.8;3190.4;6939.2;1735;0
4;8;1040.4;6107.3;16188.3;1331.8;3196.7;6942.2;1735;0
5;8;1068.2;5755.6;16275.8;1331.8;3182.5;6942.2;1721.5;0
6;8;1118.4;5329.2;17205.9;1368.8;3083.8;6942.2;2326.5;0
7;8;1239.4;4976.4;18616;1368.8;3173.3;6962.2;2638;0
8;8;1319.2;4686.1;20113.6;1524.8;3351.9;6962.2;3140.5;1
9;8;1484.9;4274.4;21669.8;1559.8;3399.3;6954.2;3492;1
10;8;1928;3759.9;22798.9;1584.8;3432.7;6938.2;3492;1
11;8;2664.2;3378.7;23564.4;1559.2;3417.6;6936.2;3532;1
12;8;3320.6;2968.4;23936.7;1459.2;3395.7;6934.2;3516.4;1
13;8;3623.7;2846.8;24284.2;1459.2;3386.8;6934.2;3511.1;1
14;8;3446.9;2957.5;24042.8;1459.2;3405.1;6931.2;3492;1
15;8;3084.3;3200.7;23336.3;1616.2;3407.5;6930.2;3492;1
16;8;2702.1;3563.3;23054.3;1771.2;3403.3;6930.2;3492;1
17;8;2522.7;4129.3;22946;1771.2;3396.4;6934.2;3492;1
18;8;1923.7;4747.7;22678.3;1771.2;3419.1;6936.2;3492;1
19;8;1762.6;5280.4;22316;1985.9;3335.9;6938.2;3492;1
20;8;1757.4;5809.3;21905.9;2003.3;3359.6;6938.2;3492;1
21;8;1996.3;6219.4;22069.9;2135.9;3393.4;6943.2;3492;1
22;8;2206.5;6441.8;21927;1965.9;3400.4;6944.2;3492;1
23;8;1417.5;6300.6;20442.7;1965.9;3265.7;6945.2;3307;1
0;8;1818.8;6110.1;19474.6;1348.2;3222.8;6952.7;2771;1
1;8;1366.6;5709.6;18294.7;1348.2;3183.2;6947.7;2609;1
2;8;1088.1;5362.1;17280.9;1348.2;3158.1;6947.7;2487;1
3;8;1127.1;4646.4;16272;1348.2;3119;6955.7;2247;1
4;8;1134.6;4133.3;15618;1348.2;3053.1;6955.7;2247;1
5;8;1132.9;3737.9;15221.1;1348.2;3024.7;6958.7;2247;1
6;8;1182.6;3387.1;14972.1;1385.2;2997.7;6964.7;2247;0
7;8;1225.8;3134;14748.6;1385.2;2995.8;6966.7;2247;0
8;8;1439.6;2900.2;15840;1228.2;3117.4;6961.7;2247;1
9;8;2236.8;2855.6;17841;798.2;3181.7;6953.7;2297;1
10;8;2459;2762.4;19309.3;822.3;3170;6947.7;2467;1
11;8;2823.7;2651.1;19946.1;823.2;3132.1;6942.7;2467;1
12;8;3392.9;2709;20774.8;823.2;3129.2;6938.7;2467;1
13;8;3545;2877.8;21175.5;823.2;3130.2;6936.7;2467;1
14;8;3411.4;3156.9;21386.3;823.2;3119.1;6930.7;2467;1
15;8;3160;3333.5;21436.2;980.2;3113.1;6928.7;2467;1
16;8;2633;3475.2;21131.5;955.2;3126.8;6926.7;2467;1
17;8;2330.7;3680.1;20536.1;955.2;3113.7;6928.7;2467;1
18;8;2291.2;3864.4;20104.7;955.2;3127.3;6934.7;2467;1
19;8;2432.2;4162.6;19782.9;1110.2;3138.1;6937.7;2467;1
20;8;2921;4569.2;19697;1135.2;3155.6;6943.7;2467;1
21;8;3452.2;4778.7;20544.4;1303.2;3161;6951.7;2467;1
22;8;3493;4966.1;20518.9;1303.2;3158.8;6953.7;2467;1
23;8;2752;5032;19201.8;1303.2;3155.6;6950.7;2467;1
0;8;2733.4;4931.9;17777.6;1481.2;3025;6961.5;2164;1
1;8;2305.4;4611.9;16685.2;1481.2;3019.6;6963.5;2051;1
2;8;1811.2;4267.6;15919.1;1481.2;3022.1;6962.5;1921;1
3;8;1735.6;3952.4;15290.7;1481.2;3019.5;6963.5;1681;1
4;8;1369.6;3689.5;14642;1481.2;2998.1;6962.5;1681;1
5;8;1347.1;3473.3;14381.8;1431.2;2997.3;6962.5;1681;1
6;8;1364.5;3377;14034.8;1246.2;2990.7;6963.5;1681;1
7;8;1244;3252.2;13582.7;1171.2;3000.5;6964.5;1511;1
8;8;1413.5;3139.1;13990.6;1171.2;3055;6963.5;1511;1
9;8;1620.9;3044.1;15464;741.2;3095.2;6963.5;1511;1
10;8;1490.4;3000.3;16990.8;741.2;3077.3;6963.5;1511;1
11;8;1696.8;3175.1;18244.1;741.2;3074.7;6964.5;1511;1
12;8;1751.3;3688.5;19263.1;741.2;3054.8;6961.5;1511;1
13;8;1669.3;4474.4;19988.9;741.2;3043.8;6958.5;1511;1
14;8;1476.8;5223.4;20387.7;741.2;3030.9;6957.5;1511;1
15;8;1298.5;5694.4;20167.4;741.2;2922;6944.5;1429;0
16;8;1265;5725.2;19728.6;741.2;2906.9;6941.5;1347;0
17;8;1302.9;5684.7;19173.8;741.2;2977.5;6938.5;1347;0
18;8;1469.7;5405.8;18805.7;741.2;2981.8;6941.5;1347;0
19;8;1560.2;5377.6;18108.6;884.2;2914;6948.5;1429;0
20;8;2249.6;5344.8;17649.9;1039.2;3035.4;6949.5;1511;1
21;8;3339.6;5225;18748.7;1039.2;3078.3;6948.5;1681;1
22;8;3627.8;5205.4;19096.6;1039.2;3084.4;6952.5;1681;1
23;8;3028.3;5104.2;18154.2;1039.2;3085.7;6953.5;1681;1
0;8;1641;4493;17818.6;1790.2;3064.1;6965.1;3021;1
1;8;1191.7;4042;16326.9;1486.2;3053.1;6964.1;2937.5;1
2;8;1082.3;3818.1;15553.1;1336.2;2968.8;6965.1;2774.1;0
3;8;1075.9;3542.5;14749;1336.2;2962;6967.1;2250.5;0
4;8;1057;3271.3;14344.4;1336.2;2988.7;6968.1;2249;0
5;8;1083.8;3042.7;14376.7;1336.2;2993.7;6967.1;2429.6;0
6;8;1375.4;2964.7;15090.2;1336.2;3173.7;6971.1;2575.5;1
7;8;1581;2902.5;16513.5;1466.2;3274.4;6972.1;2585.5;1
8;8;2292.4;2663.4;18401.7;1869.2;3387.5;6968.1;2892;1
9;8;3095.1;2361.5;20498.9;1869.2;3372.3;6961.1;2892;1
10;8;3179.7;1966.6;21323.1;1714.2;3396.9;6956.1;2892;1
11;8;3324.1;1862.1;21937.1;1603.5;3363.8;6954.1;3312;1
12;8;3495.1;2063.6;22856.3;1616.8;3374.4;6948.1;3312;1
13;8;3671.2;2274.5;23620.8;1571.7;3381;6943.1;3312;1
14;8;3287;2643.8;23772.3;1576.1;3380.2;6943.1;3312;1
15;8;2970;3143.1;23382.8;1572.7;3352.6;6939.1;3312;1
16;8;2479.9;3877.6;23322.6;1714.2;3362.5;6941.1;3062;1
17;8;2015.5;4525;23433.6;1714.2;3365;6946.1;3062;1
18;8;1619;5199.6;23216.7;1741.9;3364.6;6949.1;3062;1
19;8;1511.8;5850.1;22749.1;1873.8;3367.9;6951.1;2680.5;1
20;8;1774.4;6227.1;22543.4;1855.1;3364.7;6949.1;2762;1
21;8;2107.8;6484.6;22632.5;2026.8;3381.4;6948.1;2762;1
22;8;2126.7;6601.3;22146;1963.9;3411.7;6948.1;2762;1
23;8;1398.7;6471;20745.7;1647.8;3360.6;6950.1;2680.5;1
0;8;1380.7;6510.5;18529.3;1204.2;3167.7;6947.9;2086;1
1;8;1171.8;6241.6;17191.6;1061.2;3102.6;6945.9;1974;1
2;8;940;5924.8;16304.8;1061.2;2951.9;6947.9;1817;0
3;8;975.1;5698.6;15606.5;1061.2;2910.7;6947.9;1697;0
4;8;985.2;5603.7;15358.5;1061.2;2945.3;6947.9;1697;0
5;8;963.4;5549.3;15262.8;1061.2;2958.6;6950.9;1697;0
6;8;1031.5;5545.2;16235.4;1061.2;2938.8;6952.9;1697;0
7;8;1250.1;5736.1;17052.3;1061.2;3181;6954.9;1747;1
8;8;1870.6;5609.5;18602.3;1231.2;3320.6;6949.9;1782;1
9;8;2445.4;5493;20057.1;1231.2;3332.3;6946.9;1602;1
10;8;2319.4;5273.1;21378.2;1231.2;3321.8;6943.9;1602;1
11;8;2406.6;5215.5;22455.2;1231.2;3317.6;6942.9;1602;1
12;8;2919.3;5173.5;22723.1;1374.2;3300.1;6938.9;1602;1
13;8;3203.6;5279.3;23503.5;1374.2;3320.9;6935.9;1602;1
14;8;3010.2;5552;23621.9;1374.2;3323.3;6935.9;1602;1
15;8;2660.7;5772.1;23163.3;1374.2;3293.4;6935.9;1602;1
16;8;2498.4;5999.9;23034.3;1374.2;3284;6933.9;1602;1
17;8;2073.2;6367.1;22955.8;1374.2;3333.6;6942.9;1602;1
18;8;1789.8;6672.9;22462.3;1526.9;3303.8;6946.9;1602;1
19;8;1838.7;7196;21600.8;1681.9;3369.5;6957.9;1252;1
20;8;2076.8;7663.4;21264.7;1511.9;3328.4;6957.9;1252;1
21;8;2988.9;7962.6;21422.4;1623.9;3337.7;6959.9;1252;1
22;8;2358.9;8162.3;20722.5;1623.9;3330.9;6960.9;1252;1
23;8;1438.9;8173.5;19822.3;1623.9;3178.8;6959.9;1252;1
0;8;1098.8;7793.1;19063.9;1479.2;2866.2;6951.4;1606;0
1;8;1019.4;7465.3;18300.8;1479.2;2862.2;6951.4;1494;0
2;8;827.3;7057.3;17303;1336.2;2937.5;6951.4;1437;0
3;8;871.1;6522.6;16419.7;1223.2;2915.7;6954.4;1317;0
4;8;888.2;6079.7;15926.9;1058.2;2925.5;6956.4;1290;0
5;8;887.8;5599;15357.5;1058.2;2913.8;6956.4;1290;0
6;8;901.6;5316.7;14917.8;1058.2;2976.5;6958.4;1290;0
7;8;960;4905.5;14977.6;1058.2;3038.2;6959.4;1290;0
8;8;1080.2;4310.5;15090.6;1058.2;3038.9;6957.4;1317;0
9;8;1305.2;3772.8;16372.4;628.2;3216.2;6958.4;1146;0
10;8;1384.9;3049.3;17486.2;628.2;3217.8;6956.4;1146;0
11;8;1729.8;2572.3;18021.1;628.2;3204.6;6949.4;1146;1
12;8;2702.3;2131.2;18357.2;628.2;3180.1;6946.4;1146;1
13;8;3164;2043.9;19025.1;741.2;3174.6;6943.4;1146;1
14;8;3415.3;2082.4;19449.4;741.2;3114.4;6937.4;1146;1
15;8;2951.1;2198.6;19066.5;741.2;3141;6933.4;1146;1
16;8;2558.7;2466.1;18823;741.2;3145.9;6932.4;1146;1
17;8;2458.3;2786.7;18569;741.2;3147.6;6931.4;1146;1
18;8;1914.2;3317.3;18338.9;741.2;3224.2;6934.4;1119;1
19;8;2800.1;3743.2;17970.7;741.2;3229.9;6937.4;1119;1
20;8;3508.2;4151.6;17504;1039.2;3183;6938.4;1119;1
21;8;3603;4489.7;18979.7;1210.6;3196.5;6935.4;1317;1
22;8;3711.7;4727.1;19086;1210.6;3207.4;6938.4;1317;1
23;8;3119.1;4651.5;17959.9;1210.6;3166.7;6937.4;1317;1
0;8;2335.9;4601.9;18513.6;1171.2;3093.6;6951.4;2807;1
1;8;1800.8;4346.7;17323.8;1171.2;3102.2;6954.4;2604.5;1
2;8;1066.1;4054.7;16111.8;1171.2;3062.5;6953.4;2384.6;1
3;8;990.9;3666.1;15205.3;1171.2;2973.6;6955.4;2212.3;1
4;8;1001.5;3392.9;14885.2;1171.2;2901.1;6957.4;2170.5;0
5;8;1057.1;3189.7;14881.9;1171.2;2915;6958.4;2242;1
6;8;1769.4;2924.6;15830.5;1171.2;3051.8;6959.4;2345;1
7;8;2080.1;3061.4;17082.1;1171.2;3241.1;6959.4;2410;1
8;8;2883.5;2911.4;17774.8;991.2;3323.3;6957.4;2665;1
9;8;3726.9;2594.2;19318.6;1108.5;3346.5;6960.4;2665;1
10;8;4037.7;2301.5;20405.6;1081.2;3324.7;6959.4;2665;1
11;8;4177.1;2248.4;21213.6;976.2;3348;6952.4;2665;1
12;8;4437.4;2210.5;21884.6;976.2;3341.2;6950.4;2665;1
13;8;4291.1;2570.7;22727.2;926.2;3337.2;6947.4;2665;1
14;8;4028.1;2856.5;22865.3;926.2;3348.9;6942.4;2665;1
15;8;3420.3;3254.3;22455.5;926.2;3353;6937.4;2665;1
16;8;2905.1;3858.9;22562.3;953.3;3354.3;6936.4;2665;1
17;8;2557.8;4272;22370.4;976.2;3383.2;6935.4;2665;1
18;8;3471.7;5023;21625.4;1119.2;3388.6;6938.4;2665;1
19;8;3866.1;5850.9;22445.5;1157.6;3401.2;6942.4;2665;1
20;8;3981.3;6535.9;22422.3;1136.8;3404.3;6943.4;2665;1
21;8;3931.4;6734;21922;1390.6;3406.1;6937.4;2665;1
22;8;3005.9;6833.6;21180.3;1390.6;3379.2;6940.4;2665;1
23;8;1519.8;6812.1;20164.9;1365.6;3318.9;6939.4;2512;1
0;8;1384.7;6392.2;18669.9;1204.2;3193.9;6954.5;1554;1
1;8;1125;6238.4;17023.9;1061.2;3092.7;6956.5;1443;1
2;8;1036.9;6099.3;16337.4;1061.2;2990.5;6956.5;1272;0
3;8;973.1;6229.7;15706.5;1061.2;3044.1;6957.5;982;0
4;8;970.1;6307.6;15576.8;1061.2;2998.9;6959.5;982;0
5;8;971.1;6296.3;15666.6;1061.2;3008.9;6960.5;982;0
6;8;1015.2;6179;15844.4;1061.2;3032.9;6960.5;982;0
7;8;1563.8;6330.7;16361.7;1061.2;3273.3;6960.5;982;1
8;8;2075.3;6397.9;17355.6;1231.2;3376.2;6960.5;1152;1
9;8;2465.9;6302;19284.7;1231.2;3397.2;6961.5;1152;1
10;8;1953.4;6337.7;20944.5;1231.2;3386;6960.5;1152;1
11;8;1941.4;6494;22042;1231.2;3376.3;6955.5;1152;1
12;8;2027.8;6640.7;23000;1231.2;3343.3;6953.5;1152;1
13;8;2292.4;6813.1;23579.3;1231.2;3337;6951.5;1152;1
14;8;2096.3;7104.9;23545.5;1231.2;3334.3;6946.5;1267;1
15;8;1857.8;7478.9;22971.7;1231.2;3285.5;6941.5;1367;1
16;8;1781.9;7956.7;22941.2;1231.2;3307.8;6940.5;1367;1
17;8;1980.3;8444.3;22338.9;1231.2;3327.1;6939.5;1317;1
18;8;3070.7;8941;21299.7;1191.2;3358.2;6943.5;1217;1
19;8;3207.7;9381.7;21197.1;1191.2;3382.4;6947.5;1217;1
20;8;3116.4;9714.5;20751.5;1191.2;3391.3;6946.5;1217;1
21;8;3072.2;9884.9;20803.2;1191.2;3398.6;6941.5;1217;1
22;8;2304.6;10123.4;20311.9;1061.2;3385.3;6944.5;1217;1
23;8;1339.4;10100.6;20122.9;1061.2;3244.1;6943.5;1032;0
0;8;985.3;9661.7;18585.2;934.6;3191.6;6935.6;1231;0
1;8;905.9;9523.8;17141.7;870.3;3173.5;6937.6;1119;0
2;8;855.9;9185.1;16858.8;774.2;3174;6935.6;1045;0
3;8;918.1;8945.4;16836.2;774.2;3151.5;6936.6;925;0
4;8;880.6;8708;16520.6;774.2;3166.5;6936.6;925;0
5;8;855.2;8482.1;16557.8;749.2;3136.2;6941.6;925;0
6;8;1012.6;8393.3;15716.9;774.2;3173.4;6943.6;925;0
7;8;869.7;8059.3;15002;749.2;3167.1;6941.6;925;0
8;8;1095.1;8057.4;15649.4;899.2;3227.3;6935.6;754;0
9;8;1198;7720.1;16923.4;899.2;3225.3;6930.6;811;0
10;8;1247.6;7245.8;19083;726.2;3207.6;6929.6;811;0
11;8;1293.4;6788.2;20581.2;726.2;3176.1;6930.6;911;0
12;8;1377.2;6457.2;20802.5;726.2;3191;6928.6;861;0
13;8;1870.6;6248.2;21212.6;726.2;3168.8;6924.6;811;1
14;8;2213.9;6069.2;21501.2;776.2;3173.5;6925.6;811;1
15;8;2222.3;6026.2;21272.9;776.2;3170.9;6924.6;811;1
16;8;2006.4;6168.9;20713.3;776.2;3156.5;6925.6;811;1
17;8;1941.9;6501.8;20354.7;776.2;3132.4;6928.6;754;1
18;8;2224.3;6976.2;19823.3;776.2;3148.3;6934.6;754;1
19;8;3372.5;7502.6;19296.4;776.2;3142.4;6940.6;754;1
20;8;3562.1;8009.5;18695.6;776.2;3150.9;6937.6;754;1
21;8;3573.6;8484.5;19474.4;931.2;3155.6;6936.6;754;1
22;8;3352.3;8848.8;18861;931.2;3171;6935.6;811;1
23;8;1751;8861.8;18167.5;931.2;3180.1;6938.6;754;1
0;8;894.9;8536.7;18289.5;1043.2;2877.7;6940.4;1044;0
1;8;872;8136.5;17465.8;1043.2;2853.4;6943.4;933;0
2;8;811.1;7777.6;16876.8;888.2;2889.8;6941.4;925;0
3;8;810.4;7408.2;16425.6;888.2;2971.3;6942.4;925;0
4;8;801.4;6994.2;16098.6;888.2;2850.8;6941.4;925;0
5;8;824.1;6733;15838.4;888.2;2981.1;6943.4;925;0
6;8;820.3;6485;15448.2;888.2;2890.1;6942.4;925;0
7;8;847.3;6351.5;15265.2;888.2;2880.2;6943.4;925;0
8;8;1106.6;5862;15664.6;888.2;3065.7;6942.4;925;0
9;8;1165.9;5375.3;15830.6;888.2;3061;6944.4;925;0
10;8;1270.7;5340.6;17245.4;298.2;3060.2;6945.4;754;0
11;8;1429.8;5000;18063.5;298.2;3054.2;6944.4;754;0
12;8;1538.5;4961;18737;298.2;3056.3;6941.4;754;1
13;8;2212.4;4972.8;19638.2;298.2;3055.3;6935.4;754;1
14;8;2588.7;5150;19914.7;298.2;3055;6933.4;754;1
15;8;2253.8;5443.8;19679.7;298.2;3064.1;6927.4;754;1
16;8;1873.5;5818.7;19382.7;298.2;3075.7;6928.4;754;1
17;8;1598.5;6410.8;19208.4;298.2;3077.7;6928.4;754;0
18;8;1314.2;6984.5;19285.9;298.2;3073.8;6936.4;754;0
19;8;2124;7494.6;18547;411.2;3097.2;6948.4;754;1
20;8;2601.3;8033.1;18197.4;566.2;3107.1;6947.4;754;1
21;8;3506;8482.9;19326.5;566.2;3121.8;6943.4;754;1
22;8;3654.1;8637.6;19423.8;566.2;3131.8;6945.4;754;1
23;8;2137.1;8646.7;19019.8;566.2;3130.1;6945.4;754;1
0;8;855.4;8225;19000.9;1058.2;2758.8;6943;1954;1
1;8;828.8;7804.3;17812.8;1058.2;2765.4;6948;1747;0
2;8;809.2;7335.5;17059.8;1058.2;2742.5;6947;1593;0
3;8;806.5;7066.4;16608.6;1058.2;2719.3;6947;1653;0
4;8;852.1;6760;16251;1058.2;2900.5;6949;1713;0
5;8;861.6;6571.3;16121;1058.2;2829.4;6948;1746;0
6;8;928.2;6359.5;16490.8;903.2;2836.6;6949;1915.5;0
7;8;1514.9;6358.2;17955.7;903.2;3001.6;6950;2253;1
8;8;2560.9;5857;19366.7;798.2;3248.7;6948;2612;1
9;8;2812.8;5195.6;21333.1;798.2;3261.5;6952;2712;1
10;8;2986.2;4638.5;22531.4;798.2;3225.1;6955;2762;1
11;8;3769.1;4379;23517.1;798.2;3220.2;6957;2762;1
12;8;3862.8;4366.3;24510.6;798.2;3255.5;6956;2762;1
13;8;4014.8;4464.4;24892.9;798.2;3254.9;6953;2762;1
14;8;3971.8;4639.9;25014.1;798.2;3260.9;6948;2762;1
15;8;3868.5;4859.8;24543.1;798.2;3252.5;6943;2762;1
16;8;3801.4;5136.7;23981.8;798.2;3236.1;6942;2762;1
17;8;3852.9;5504.3;23591.3;798.2;3252.3;6941;2762;1
18;8;3763.3;5940.8;22751.4;798.2;3278.7;6936;2662;1
19;8;3834.9;6525.4;21950.2;798.2;3290.8;6939;2662;1
20;8;3769.6;7157.7;21519.6;798.2;3311.6;6941;2612;1
21;8;3705;7673.4;22322.3;953.2;3284.5;6940;2662;1
22;8;3492.9;8066;21115.7;783.2;3326.3;6943;2712;1
23;8;1863.3;7937.2;20619;783.2;3261.3;6945;2612;1
0;8;1039.6;7889.5;21194.5;778.2;3304.6;6961;3570.7;1
1;8;1048.9;7422.1;19770.2;778.2;3288.8;6966;2985.1;0
2;8;1048.9;6875.4;18573.6;778.2;3289;6964;2396;0
3;8;1074.4;6260.8;17910.6;778.2;3282.3;6964;2394.8;0
4;8;1103.3;5666.3;17321.9;678.2;3280.2;6962;2516;0
5;8;1103;5135.6;16908.4;668.2;3286.3;6964;2699;0
6;8;2411;4920;17975.3;851.7;3313.8;6965;4264;1
7;8;2894.1;4578.2;20325;1101.2;3438.1;6966;4582;1
8;8;3256.8;4292.6;21258.9;1481.2;3458.2;6963;4707;1
9;8;3781.9;3810.7;22707.2;1531.2;3441.4;6967;4787;1
10;8;4077.9;3375.1;23923.1;1531.2;3418;6971;4772.2;1
11;8;4093.4;3280.4;24946.5;1481.2;3403.1;6969;4787;1
12;8;4605.4;3131.5;25584.4;1481.2;3405.1;6966;4787;1
13;8;4704.7;3099.9;25346.3;1481.2;3395.8;6965;4787;1
14;8;4369.2;3194.9;25227;1481.2;3398.2;6963;4787;1
15;8;4087.4;3355.6;25287.9;1431.2;3397.1;6959;4787;1
16;8;3707.4;3698;25027.3;1431.2;3397.4;6959;4787;1
17;8;4217.1;3989.6;25247.2;1481.2;3406.4;6955;4787;1
18;8;4036.3;4356.9;24686.7;1481.2;3429.1;6945;4787;1
19;8;4022.8;4758;23758.6;1454.2;3431.8;6945;4787;1
20;8;4034.4;5180.2;23136.3;1454.2;3442.7;6947;4787;1
21;8;4157.8;5560.2;23718.8;1454.2;3442.3;6950;4787;1
22;8;3507.2;5672;21739.2;1404.2;3440.3;6956;4787;1
23;8;1919.7;5371.6;21034.3;1134.2;3410.6;6961;4616;1
0;8;2310.9;4547.2;21542.7;763.2;3240;6955.1;5720.4;1
1;8;1754.6;4179.9;19967.8;613.2;3229.2;6957.1;5630;1
2;8;1339.7;3906.6;18970.3;613.2;3231.3;6958.1;5349.4;1
3;8;1201.8;3573.2;18074.5;574;3224.1;6957.1;5131.7;1
4;8;1213.2;3151.4;17599.6;571.2;3222.3;6959.1;5159.1;1
5;8;1387;2683.7;17678.2;613.2;3208.2;6959.1;5566.7;1
6;8;2819.4;2473;18096.5;743.2;3246;6959.1;5931.6;1
7;8;3087.8;2347.8;18898.1;1111.2;3333.2;6960.1;6534.8;1
8;8;3386.4;2049.2;21082;1759.2;3374.7;6959.1;6524;1
9;8;3734.5;1875.2;22078.7;1786.2;3374.1;6961.1;6554;1
10;8;3871.5;1670.5;22842.9;2101.2;3361.6;6965.1;6581.8;1
